1,1,18,4,2,1,1,2,4,2,1,4,2,21,3,1,1,3,1,1,1
1,1,9,4,0,2,1,3,2,3,1,2,1,36,3,1,2,3,2,1,1
1,2,12,2,9,0,2,4,2,2,1,4,1,23,3,1,1,2,1,1,1
1,1,12,4,0,2,1,3,3,3,1,2,1,39,3,1,2,2,2,1,2
1,1,12,4,0,2,1,3,4,3,1,4,2,38,1,2,2,2,1,1,2
1,1,10,4,0,2,1,2,1,3,1,3,1,48,3,1,2,2,2,1,2
1,1,8,4,0,3,1,4,1,3,1,4,1,39,3,2,2,2,1,1,2
1,1,6,4,0,1,1,2,2,3,1,4,1,40,3,2,1,2,2,1,2
1,4,18,4,3,1,1,1,4,2,1,4,3,65,3,2,2,1,1,1,1
1,2,24,2,3,3,3,1,1,2,1,4,4,23,3,1,1,1,1,1,1
1,1,11,4,0,3,1,3,2,3,1,2,1,36,3,1,2,3,2,1,1
1,1,30,4,1,6,2,4,1,4,1,4,3,24,3,1,2,3,1,1,1
1,1,6,4,3,1,1,4,1,2,1,4,3,31,3,2,1,3,1,1,1
1,2,48,3,10,7,2,1,2,3,1,4,4,31,3,2,1,4,1,2,1
1,1,18,2,3,1,5,4,2,4,1,4,3,23,3,1,2,2,1,1,1
1,1,6,2,3,2,3,3,2,3,1,3,1,44,3,1,1,3,2,1,1
1,1,11,4,0,3,1,3,1,3,1,2,1,40,3,2,2,2,2,1,1
1,2,18,2,3,3,3,2,1,4,1,3,1,25,3,1,1,3,1,1,1
1,2,36,4,3,2,1,5,4,3,1,4,1,36,3,2,1,3,1,1,1
1,4,11,4,0,7,1,3,1,3,1,4,2,39,3,2,2,2,1,1,1
1,1,6,4,0,3,1,3,1,3,1,3,1,37,3,1,3,3,2,1,1
1,2,12,4,0,3,1,2,1,3,1,3,1,49,1,2,2,2,2,1,1
0,2,36,2,5,2,1,2,4,3,1,1,4,33,3,1,1,2,1,1,1
1,2,12,4,4,1,1,4,4,3,1,3,2,26,3,2,1,3,1,1,1
1,1,6,4,0,4,5,2,1,3,1,3,1,44,3,2,2,2,2,1,1
1,2,11,3,3,4,1,4,2,3,1,4,2,51,3,2,1,3,1,1,1
1,1,12,2,2,0,1,5,4,2,1,4,2,24,3,1,1,3,1,1,1
1,2,9,4,3,1,1,5,2,3,1,4,1,37,3,2,3,2,1,1,1
1,4,15,2,0,3,5,3,3,3,1,2,4,29,3,2,1,3,1,1,1
1,3,42,4,1,4,1,5,4,3,1,4,4,56,3,3,1,3,1,1,1
1,3,30,4,3,3,1,5,4,3,1,4,2,47,3,2,1,3,1,1,1
1,4,36,4,0,3,1,4,4,3,1,4,3,37,3,2,2,3,1,2,1
1,4,36,4,0,6,1,5,4,3,1,4,3,34,3,2,2,4,1,2,1
1,4,24,2,3,1,3,4,4,2,1,1,3,28,3,2,1,3,1,1,1
1,1,15,2,0,1,1,2,2,3,1,3,1,36,3,2,1,3,1,1,1
